player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY_x,Performance_CrdR_x,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_CrdY_y,Performance_CrdR_y,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
580451,Martin Baturina,2003-02-16,23.0,Midfield,Attacking Midfield,right,172.0,Croatia,Calcio Como,30000000.0,30000000.0,29,1569,6,3,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581672,Samuel Iling-Junior,2003-10-04,22.0,Midfield,Left Midfield,left,182.0,England,Pisa Sporting Club,6500000.0,13000000.0,48,1329,3,3,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583046,Medon Berisha,2003-10-21,22.0,Midfield,Central Midfield,right,186.0,Albania,Unione Sportiva Lecce,5000000.0,6000000.0,36,1799,2,4,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586984,Daniel Oyegoke,2003-01-03,23.0,Defender,Right-Back,right,188.0,England,Verona Hellas Football Club,1000000.0,1000000.0,20,692,0,0,Lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608172,Ardon Jashari,2002-07-30,23.0,Midfield,Defensive Midfield,left,181.0,Switzerland,Associazione Calcio Milan,25000000.0,32000000.0,14,700,0,1,Volante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610442,Rasmus Højlund,2003-02-04,23.0,Attack,Centre-Forward,left,191.0,Denmark,Società Sportiva Calcio Napoli,60000000.0,65000000.0,65,4597,21,10,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613393,Gaetano Oristanio,2002-09-28,23.0,Midfield,Attacking Midfield,left,174.0,Italy,Parma Calcio 1913,5000000.0,6500000.0,82,4292,6,4,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622380,Cesare Casadei,2003-01-10,23.0,Midfield,Central Midfield,right,192.0,Italy,Torino Calcio,15000000.0,15000000.0,48,3013,7,1,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624436,Gerard Yepes,2002-08-25,23.0,Midfield,Defensive Midfield,right,170.0,Spain,UC Sampdoria,500000.0,500000.0,5,197,0,0,Volante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631007,Filippo Terracciano,2003-02-08,23.0,Defender,Centre-Back,right,186.0,Italy,Unione Sportiva Cremonese S.p.A.,4500000.0,4500000.0,90,5733,2,2,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632831,Nicolò Bertola,2003-03-23,23.0,Defender,Centre-Back,right,192.0,Italy,Udinese Calcio,7000000.0,7000000.0,30,1794,0,1,Zagueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633668,Giovanni Fabbian,2003-01-14,23.0,Midfield,Attacking Midfield,right,190.0,Italy,Associazione Calcio Fiorentina,10000000.0,14000000.0,86,3231,10,3,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641537,Tommaso Baldanzi,2003-03-23,23.0,Midfield,Attacking Midfield,left,170.0,Italy,Genoa Cricket and Football Club,8500000.0,15000000.0,103,4644,8,3,Meia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
