player_id,name,date_of_birth,idade,position,sub_position,foot,height_in_cm,country_of_citizenship,current_club_name,market_value_in_eur,highest_market_value_in_eur,partidas_jogadas,minutos_jogados,gols,assistencias,posicao_projeto
578392,Maximilian Beier,2002-10-17,23.0,Attack,Centre-Forward,right,185.0,Germany,Borussia Dortmund,40000000.0,40000000.0,103,6175,33,18,Centroavante
579459,Albian Hajdari,2003-05-18,23.0,Defender,Centre-Back,left,189.0,Kosovo,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,25000000.0,25000000.0,30,2440,1,2,Zagueiro
579565,Ísak Jóhannesson,2003-03-23,23.0,Midfield,Central Midfield,left,184.0,Iceland,1. Fußball-Club Köln,8000000.0,10000000.0,31,1812,1,3,Meia
580195,Jamal Musiala,2003-02-26,23.0,Midfield,Attacking Midfield,right,184.0,Germany,FC Bayern München,100000000.0,140000000.0,154,8790,48,33,Meia
597432,Leopold Querfeld,2003-12-20,22.0,Defender,Centre-Back,right,190.0,Austria,1. Fußballclub Union Berlin,20000000.0,20000000.0,58,4446,5,2,Zagueiro
599419,Max Rosenfelder,2003-02-10,23.0,Defender,Centre-Back,right,186.0,Germany,Sport-Club Freiburg,6000000.0,8000000.0,37,1734,1,0,Zagueiro
599733,Arkadiusz Pyrka,2002-09-20,23.0,Defender,Right-Back,right,177.0,Poland,Fußball-Club St. Pauli von 1910,3500000.0,3500000.0,31,2581,0,1,Lateral
601143,Nikolas Veratschnig,2003-01-24,23.0,Midfield,Right Midfield,right,180.0,Austria,1. Fußball- und Sportverein Mainz 05,2500000.0,2500000.0,36,1010,0,1,Meia
605268,Igor Matanovic,2003-03-31,23.0,Attack,Centre-Forward,right,194.0,Croatia,Sport-Club Freiburg,22000000.0,22000000.0,47,1863,12,2,Centroavante
607720,Jonas Urbig,2003-08-08,22.0,Goalkeeper,Goalkeeper,both,189.0,Germany,FC Bayern München,18000000.0,18000000.0,22,1830,0,0,Goleiro
610400,William Bøving,2003-03-01,23.0,Attack,Centre-Forward,both,176.0,Denmark,1. Fußball- und Sportverein Mainz 05,3500000.0,8000000.0,9,219,0,1,Centroavante
613192,Jens Castrop,2003-07-29,22.0,Midfield,Central Midfield,right,178.0,"Korea, South",Borussia Verein für Leibesübungen 1900 Mönchengladbach,10000000.0,10000000.0,26,1594,3,1,Meia
617755,Jenson Seelt,2003-05-23,23.0,Defender,Centre-Back,right,195.0,Netherlands,Verein für Leibesübungen Wolfsburg,5000000.0,5000000.0,9,680,0,0,Zagueiro
618472,Castello Lukeba,2002-12-17,23.0,Defender,Centre-Back,left,184.0,France,RasenBallsport Leipzig,50000000.0,50000000.0,81,5940,2,0,Zagueiro
620295,Mio Backhaus,2004-04-16,22.0,Goalkeeper,Goalkeeper,right,194.0,Germany,Sportverein Werder Bremen von 1899,15000000.0,15000000.0,32,2880,0,0,Goleiro
632349,Jarell Quansah,2003-01-29,23.0,Defender,Centre-Back,right,190.0,England,Bayer 04 Leverkusen Fußball,45000000.0,45000000.0,28,2302,4,0,Zagueiro
635645,Aurèle Amenda,2003-07-31,22.0,Defender,Centre-Back,right,194.0,Switzerland,Eintracht Frankfurt Fußball AG,10000000.0,10000000.0,32,1765,0,0,Zagueiro
640556,Rav van den Berg,2004-07-07,22.0,Defender,Centre-Back,right,191.0,Netherlands,1. Fußball-Club Köln,7000000.0,8000000.0,14,1132,0,1,Zagueiro
654234,Anton Kade,2004-01-17,22.0,Midfield,Right Midfield,right,185.0,Germany,Fußball-Club Augsburg 1907,10000000.0,10000000.0,32,1820,6,1,Meia
654982,Bilal El Khannouss,2004-05-10,22.0,Midfield,Attacking Midfield,right,180.0,Morocco,Verein für Bewegungsspiele Stuttgart 1893,35000000.0,35000000.0,25,1635,4,5,Meia
654991,Samuel Mbangula,2004-01-16,22.0,Attack,Left Winger,right,179.0,Belgium,Sportverein Werder Bremen von 1899,8000000.0,14000000.0,26,1169,3,4,Ponta
659459,Carney Chukwuemeka,2003-10-20,22.0,Midfield,Central Midfield,right,187.0,Austria,Borussia Dortmund,20000000.0,25000000.0,38,1152,3,0,Meia
664708,Equi Fernández,2002-07-25,23.0,Midfield,Defensive Midfield,left,178.0,Argentina,Bayer 04 Leverkusen Fußball,20000000.0,25000000.0,20,987,0,1,Volante
667251,Hugo Bolin,2003-07-24,22.0,Attack,Left Winger,right,179.0,Sweden,Borussia Verein für Leibesübungen 1900 Mönchengladbach,6000000.0,6000000.0,13,547,1,2,Ponta
667457,Leon Avdullahu,2004-02-23,22.0,Midfield,Defensive Midfield,right,185.0,Kosovo,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,30000000.0,30000000.0,33,2838,0,1,Volante
669380,Konstantinos Koulierakis,2003-11-28,22.0,Defender,Centre-Back,left,188.0,Greece,Verein für Leibesübungen Wolfsburg,25000000.0,25000000.0,59,4951,4,3,Zagueiro
671108,Kota Takai,2004-09-04,21.0,Defender,Centre-Back,right,192.0,Japan,Borussia Verein für Leibesübungen 1900 Mönchengladbach,5000000.0,5000000.0,8,339,0,0,Zagueiro
673071,Oscar Vilhelmsson,2003-10-02,22.0,Attack,Centre-Forward,left,188.0,Sweden,SV Darmstadt 98,2000000.0,2000000.0,26,1375,4,1,Centroavante
677935,Ricky-Jade Jones,2002-11-08,23.0,Attack,Centre-Forward,right,183.0,England,Fußball-Club St. Pauli von 1910,1200000.0,1200000.0,9,350,2,0,Centroavante
683812,John Tolkin,2002-07-31,23.0,Defender,Left-Back,left,170.0,United States,Holstein Kiel,2500000.0,4000000.0,11,739,0,2,Lateral
684315,Nnamdi Collins,2004-01-10,22.0,Defender,Centre-Back,right,188.0,Germany,Eintracht Frankfurt Fußball AG,20000000.0,20000000.0,49,3072,2,3,Zagueiro
690429,Robert Wagner,2003-07-14,22.0,Midfield,Central Midfield,right,181.0,Germany,Fußball-Club St. Pauli von 1910,1400000.0,1400000.0,16,437,0,0,Meia
691892,Nathaniel Brown,2003-06-16,23.0,Defender,Left-Back,left,176.0,Germany,Eintracht Frankfurt Fußball AG,40000000.0,40000000.0,59,4610,7,11,Lateral
692734,Linus Gechter,2004-02-27,22.0,Defender,Centre-Back,right,190.0,Germany,Hertha BSC,1800000.0,4500000.0,13,714,1,0,Zagueiro
